,,
A,U+0041,\u0041
B,U+0042,\u0042
Ch',U+0043 U+0068 U+0027,\u0043\u0068\u0027
D,U+0044,\u0044
Dl,U+0044 U+006C,\u0044\u006C
Dz,U+0044 U+007A,\u0044\u007A
E,U+0045,\u0045
G,U+0047,\u0047
Gh,U+0047 U+0068,\u0047\u0068
H,U+0048,\u0048
Hw,U+0048 U+0077,\u0048\u0077
I,U+0049,\u0049
J,U+004A,\u004A
K,U+004B,\u004B
K',U+004B U+0027,\u004B\u0027
Kw,U+004B U+0077,\u004B\u0077
L,U+004C,\u004C
Ł,U+0141,\u0141
M,U+004D,\u004D
N,U+004E,\u004E
O,U+004F,\u004F
S,U+0053,\u0053
Sh,U+0053 U+0068,\u0053\u0068
T,U+0054,\u0054
T',U+0054 U+0027,\u0054\u0027
Tł,U+0054 U+0142,\u0054\u0142
Tł',U+0054 U+0142 U+0027,\u0054\u0142\u0027
Ts,U+0054 U+0073,\u0054\u0073
Ts',U+0054 U+0073 U+0027,\u0054\u0073\u0027
W,U+0057,\u0057
X,U+0058,\u0058
Y,U+0059,\u0059
Z,U+005A,\u005A
,,
aa,U+0061 U+0061,\u0061\u0061
á,U+00E1,\u00E1
áá,U+00E1 U+00E1,\u00E1\u00E1
ą,U+0105,\u0105
ąą,U+0105 U+0105,\u0105\u0105
ą́,U+0105 U+0301,\u0105\u0301
ą́ą́,U+0105 U+0301 U+0105 U+0301,\u0105\u0301\u0105\u0301
,,
aá,U+0061 U+00E1,\u0061\u00E1
aą,U+0061 U+0105,\u0061\u0105
aą́,U+0061 U+0105 U+0301,\u0061\u0105\u0301
,,
áa,U+00E1 U+0061 ,\u00E1\u0061
áą,U+00E1 U+0105,\u00E1\u0105
áą́,U+00E1 U+0105 U+0301,\u00E1\u0105\u0301
,,
ąa,U+0105 U+0061 ,\u0105\u0061
ąá,U+0105 U+00E1,\u0105\u00E1
ąą́,U+0105 U+0105 U+0301 ,\u0105\u0105\u0301
,,
ą́a,U+0105 U+0301 U+0061,\u0105\u0301\u0061
ą́á,U+0105 U+0301 U+00E1,\u0105\u0301\u00E1
ą́ą,U+0105 U+0301 U+0105,\u0105\u0301\u0105
,,
ee,U+0065 U+0065,\u0065\u0065
é,U+00E9,\u00E9
éé,U+00E9 U+00E9,\u00E9\u00E9
ę,U+0119,\u0119
ęę,U+0119 U+0119,\u0119\u0119
ę́,U+0119 U+0301,\u0119\u0301
ę́ę́,U+0119 U+0301 U+0119 U+0301,\u0119\u0301\u0119\u0301
,,
eé,U+0065 U+00E9,\u0065\u00E9
eę,U+0065 U+0119,\u0065\u0119
eę́,U+0065 U+0119 U+0301,\u0065\u0119\u0301
,,
ée,U+00E9 U+0065,\u00E9\u0065
éę,U+00E9 U+0119,\u00E9\u0119
éę́,U+00E9 U+0119 U+0301,\u00E9\u0119\u0301
,,
ęe,U+0119 U+0065,\u0119\u0065
ęé,U+0119 U+00E9 ,\u0119\u00E9
ęę́,U+0119 U+0119 U+0301,\u0119\u0119\u0301
,,
ę́e,U+0119 U+0301 U+0065,\u0119\u0301\u0065
ę́ę,U+0119 U+0301 U+0119,\u0119\u0301\u0119
ę́é,U+0119 U+0301 U+00E9 ,\u0119\u0301\u00E9
,,
ii,U+0069 U+0069 ,\u0069\u0069
í,U+00ED,\u00ED
íí,U+00ED U+00ED,\u00ED\u00ED
į,U+012F,\u012F
įį,U+012F U+012F,\u012F\u012F
į́,U+012F U+0301,\u012F\u0301
į́į́,U+012F U+0301 U+012F U+0301,\u012F\u0301\u012F\u0301
,,
ií,U+0069 U+00ED,\u0069\u00ED
iį,U+0069 U+012F,\u0069\u012F
iį́,U+0069 U+012F U+0301,\u0069\u012F\u0301
,,
íi,U+00ED U+0069,\u00ED\u0069
íį,U+00ED U+012F ,\u00ED\u012F
íį́,U+00ED U+012F U+0301,\u00ED\u012F\u0301
,,
įi,U+012F U+0069,\u012F\u0069
įí,U+012F U+00ED,\u012F\u00ED
įį́,U+012F U+012F U+0301,\u012F\u012F\u0301
,,
į́i,U+012F U+0301 U+0069,\u012F\u0301\u0069
į́í,U+012F U+0301 U+00ED,\u012F\u0301\u00ED
į́į,U+012F U+0301 U+012F,\u012F\u0301\u012F
,,
oo, U+006F  U+006F,\u006F\u006F
ó,U+00F3,\u00F3
óó,U+00F3 U+00F3,\u00F3\u00F3
ǫ,U+01EB,\u01EB
ǫǫ,U+01EB U+01EB,\u01EB\u01EB
ǫ́,U+01EB U+0301,\u01EB\u0301
ǫ́ǫ́,U+01EB U+0301 U+01EB U+0301,\u01EB\u0301\u01EB\u0301
,,
oó, U+006F U+00F3,\u006F\u00F3
oǫ, U+006F U+01EB,\u006F\u00EB
oǫ́, U+006F U+01EB U+0301,\u006F\u01EB\u0301
,,
óo,U+00F3 U+006F,\u00F3\u006F
óǫ,U+00F3 U+01EB,\u00F3\u01EB
óǫ́,U+00F3 U+01EB U+0301,\u00F3\u01EB\u0301
,,
ǫo,U+01EB U+006F ,\u01EB\u006F
ǫó,U+01EB U+00F3,\u01EB\u00F3
ǫǫ́,U+01EB U+01EB U+0301,\u01EB\u01EB\u0301
,,
ǫ́o,U+01EB U+0301 U+006F,\u01EB\u0301\u006F
ǫ́ǫ,U+01EB U+0301 U+01EB,\u01EB\u0301\u01EB
ǫ́ó,U+01EB U+0301 U+00F3,\u01EB\u0301\u00F3
,,
ń,U+0144,\u0144